text,label,source
“@USER: What’s going to be your pick for #SelectionSunday? #2for5 #WatchLikeaKing URL Dis make colored folk happy,SAFE,davidson
Tempted to finish every sentence I say today with yo or bitch. #BreakingBad,OFFENSIVE,davidson
".@USER Wow, ""impeachment."" Look at you using your Vocab Workshop words. Guess we were only half wrong about you being a dumb cunt.",OFFENSIVE,davidson
#Yankees #Jeter Let him play the entire inning. That's fitting.,SAFE,davidson
@USER @USER wuss up bitch,OFFENSIVE,davidson
@USER @USER @USER How about yours Chaplain. Liberals are fools.,HATE,olid
@USER Maybe you haven’t seen how well #MAGA is working on our economy. The turn around is restitching the fray in our social fabric and rekindling our civic spirit. These reforms are enlightening and educating the next generation in responsible civics. #WalkAway,SAFE,olid
@USER we some hoes bruhhh lol,OFFENSIVE,davidson
If you cant pass the asvab you might as well just go full retard,OFFENSIVE,davidson
@USER Another liberal Democrat promising checks he cant cash,SAFE,olid
@USER He's beyond moron.,OFFENSIVE,olid
Sewing is also a requirement to be an #ISIS Jihadi girl - keep the men's clothes presentable #ISISFeminism URL,SAFE,davidson
@USER @USER @USER @USER @USER Hookers are always complimentary-who wants to be with a bitch?,OFFENSIVE,davidson
"Judge Dismisses Lawsuit of Berkeley Student Injured at Protest of Yiannopoulos Event"" URL #TCOT #MAGA #RedNationRising""",SAFE,olid
Niggas is hoes #OnHere and in real life too....,OFFENSIVE,davidson
@USER Tbh I only started recently but the only thing I don't like about mineta is how whiny he is,SAFE,olid
"@USER @USER @USER @USER Antifa means against fascism. And by the way, the only people I have ever used the word Antifa"" are conservatard trolls on twitter. just an FYI. The group who is against alt-right, fascist, white supremacist, neo-nazis are just ""Most Americans"".""",SAFE,olid
@USER what the fuck...,OFFENSIVE,olid
"@USER @USER She is so cute! And only for 2 days!""""",SAFE,olid
"Juan likes black girls monday - wednesday, spanish girls thursday & friday, & white bitches on the weekend tbb",OFFENSIVE,davidson
@USER Be like Haiti and Obama and Clinton,SAFE,olid
Good day with these 2 bitches @USER @USER 😘✌,OFFENSIVE,davidson
@USER @USER She goes through with chequers the @USER are finished,SAFE,olid
"""Fuck ur WCW...let me see wat ur current bitch look like."" + Oowe...",OFFENSIVE,davidson
“@USER: It's like zero bitches in nap that's gon stick by yo side if you fall off 💯”FORREAL THO THIS AIN NO LIE 💯,OFFENSIVE,davidson
Come out her pussy and go in her ass come out her ass and go in her mouth,OFFENSIVE,davidson
"@USER huh, lol mad nigger is mad",HATE,davidson
"""@USER: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",OFFENSIVE,davidson
African colored car I push niggerous whips,HATE,davidson
Nice base running again by the @USER. Fucking ponderous.,OFFENSIVE,davidson
"Tilt my chin back, slit my throat, take a bath in my blood, get to know me",SAFE,davidson
no bitch I did not want to wear makeup,OFFENSIVE,davidson
"@USER Why didn't @USER tell us this about the Cincinatti murder at Fifth Third Bank? He said the firearm was apparently legally purchased."" Is it harder to clamor for more failed gun control? #2A URL",SAFE,olid
"“@USER: Shawty fine, breath stank...” Do da heisman on dat hoe 😂",OFFENSIVE,davidson
"52% of the world's mammals, birds, reptiles, amphibians & fish vanished between 1970 & 2010: URL URL",SAFE,davidson
Lil Kim really made herself trash smh 💔,SAFE,davidson
@USER nope! btw you's a hoe lol,OFFENSIVE,davidson
“@USER: @USER I'm so dead 💀💀 why you hoe me URL idk I just felt like flaming you lol,OFFENSIVE,davidson
Lmao I hate that hoe already 😂 URL,OFFENSIVE,davidson
"I've got saltine crackers and red wine here. Is it possible to DIY a communion? I, uh, haven't been to church in awhile. #tbtweets",SAFE,davidson
"@USER My divorce. Everyone says, We're not picking a side."" And then, they all totally do. Trials of life are great indicators about the realness of people. It sucks at first, but then the after is great. #EverybodyTalks""",SAFE,olid
@USER I feel like this happens at the library except they argue a .30 fine because they don’t appreciate us and think she is doing us a favor by patronizing the library. But the family of seven with a huge fine on multiple picture books will write out a check then and there.,SAFE,olid
Man it's some bad built bitches in San Antonio.....& if u can't wear a thong on the beach yo ass bet not retweet this,OFFENSIVE,davidson
"""@USER: Photo: URL he is in sole heaven",SAFE,davidson
I wouldn't be acting like a crazy bitch if you just told me what the hell goes on in your head,OFFENSIVE,davidson
"*chops* RT @USER *does bird call, flaps hands*",SAFE,davidson
@USER @USER @USER I hope @USER Ask @USER about the deep state and swamp creatures undermining president’s Agendas and latest @USER video,SAFE,olid
#brandmatters @USER teams up with #guncontrol group: ‘We simply cannot stand by silently’ URL,SAFE,olid
"God bless those delusional bitches still trying to keep ""duck face"" alive.",OFFENSIVE,davidson
@USER @USER @USER Plus she is a REAL reporter and has the courage of a platoon of Marines. SMH.,SAFE,olid
Get this bitch out of my house,OFFENSIVE,davidson
@USER bITCHC IM UWUING,OFFENSIVE,olid
I luh to lick the middle like an Oreo,SAFE,davidson
"@USER I read this as If you are a straight white male forget about being partnered.""""",SAFE,olid
@USER As clear as the mud UKGov are dumping off Swansea. Corbyn offers no solutions & no answers ... being non-committal on everything & hoping 'not being the conservatives' will get him elected. Westminster politics & government have degenerated so much its no longer fit for purpose.,OFFENSIVE,olid
@USER @USER @USER @USER lmao pussy,OFFENSIVE,davidson
"#Elections News: Gun control group's political arm pouring millions into midterm elections #News #HeadlineNews"": URL",SAFE,olid
"If she ever been on a club flyer, She a hoe.",OFFENSIVE,davidson
ANTIFA in Canada demand to be let into a government meeting URL,SAFE,olid
"LMFAO OH NAH SHE KEEP IT THREE HUNNA""@USER: @USER twitpic a selfie if u a ho URL",SAFE,davidson
Just purchased my first trenta iced coffee....this is a slippery slope,SAFE,davidson
"Mary had a juicy clam, Was always good to go Little touch of boated man And she began to flow #HallmarkNostraCollecti…",OFFENSIVE,davidson
"A MILF is a sexy ass mom over 35. If you're 20, you're just a bitch with a baby",OFFENSIVE,davidson
This bitch can't be serious... URL,OFFENSIVE,davidson
Give me head & kiss yo nigga you a ill bitch,OFFENSIVE,davidson
"@USER @USER @USER @USER @USER I don't know about Soros, but I do know that some on the right"" do use the actions of a few (Antifa) to play identity politics and claim all on the ""left"" are violent - and that's not helpful for anyone, is it?""",HATE,olid
When things don't go my way I'm a total bitch.💁,OFFENSIVE,davidson
A bitch a get chalked b4 I catch feelings,OFFENSIVE,davidson
@USER @USER Him because she is a democrat and doesn’t want the vote to go through. Facts just the facts.,SAFE,olid
😒RT @USER: so many pretty bitches coming to my birthday dinner 😬,OFFENSIVE,davidson
"This bitch literally just said ""normal people shouldn't work out in this gym because so many body builders workout here""",OFFENSIVE,davidson
"""@USER: having one loyal female is wayyyyy better than having hoes , idc 💯""",OFFENSIVE,davidson
@USER Another has been trying to get back in the spotlight Paul McCartney go back to England shut up,OFFENSIVE,olid
#FreeballoutPartyPart3 bitch it's going! 3 mo weeks🙌,OFFENSIVE,davidson
@USER >Eradicating HIV and Malaria in the middle of Africa Good bloody luck,SAFE,olid
@USER @USER No people died because officials robbed n didn't do their jobs,OFFENSIVE,olid
I used to think that bitch was bad ... But not no moe !,OFFENSIVE,davidson
Get your own picture bitch.,OFFENSIVE,davidson
@USER So one person lies and a lying member of Congress says the judge should step down? Great job liberals.,SAFE,olid
Follow my DOG.. he has over 17K bitches RT @USER: I made a golden retriever my bitch today at the park. URL ...,OFFENSIVE,davidson
You hoes ain't got no manners.,OFFENSIVE,davidson
@USER @USER I don't love these hoes,OFFENSIVE,davidson
"@USER Trump: I'm giving power back to the people"" Liberals: ""Authoritarian!"" Trump: ""I'm giving power back to the states"" Liberals: ""Authoritarian!"" Dems: ""We want to control every aspect of your life"" Liberals: ""That's exactly what we need!""""",SAFE,olid
Sixten just shoved like 8 Oreos down his throat,SAFE,davidson
Democrat can't even compete w @USER #MAGA URL,OFFENSIVE,olid
@USER bout time bitch,OFFENSIVE,davidson
Acid yellow URL,SAFE,davidson
"@USER @USER @USER I don't give a flying fuck what you think about my tweets, worthless teabagger scum.",OFFENSIVE,davidson
@USER @USER Everybody knows that bitches love mullets #Pantiedropin,OFFENSIVE,davidson
@USER @USER @USER I do have one more serious question though. I am wondering if liberal men actually have balls or is this a birth defect? What would ever happen if the left and right went at each other. LGBT be your front line??Antifa next??,SAFE,olid
@USER @USER @USER do it i fucking dare you faggot,OFFENSIVE,davidson
I didn't pull bitches in elementary school. My parents couldn't afford the 64-count color box with the sharpener on the back…,OFFENSIVE,davidson
And them niggas pussies...cameltoes 😂,OFFENSIVE,davidson
"these bitches love wyandanch niggas i tell you , i always see yall o.t bitches out here wit them . but keep frontin for t…",OFFENSIVE,davidson
@USER @USER @USER @USER you ain't 6 feet under its not over pussy,OFFENSIVE,davidson
@USER @USER @USER She is absolutely useless. Everyone knows it except for her and the media.,OFFENSIVE,olid
"Now the title bitch doesn't apply to all women, but all women have a lil bitch in em",OFFENSIVE,davidson
but shawty you not a bitch you the one I get money wid,OFFENSIVE,davidson
I ain't bout to listen to this nigga rap about eating pussy,OFFENSIVE,davidson
@USER Google anti-American? URL,SAFE,olid
"Get my name tatted, right by ya pussy 💉🐈🚼",OFFENSIVE,davidson
"""@USER: I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn",OFFENSIVE,davidson
@USER He is still eating and talking about p**sy on carter V. Trust me,OFFENSIVE,olid
#Neonics are deadly to #birds like the American Kestrel and #bees. Ask @USER to take it off their shelves. #EcoWed URL,SAFE,davidson
(You are! My prayer is that you are blessed with someone you know like that also. Someone who feels your basic human rights are worth protecting. Especially your God given right to personal privacy.),SAFE,olid
Boy damn jitt got his ass bitch slapped in da court yard comin to 6th period 😂😂😂 i was yelln n shit,OFFENSIVE,davidson
"Don Lemon gets called an Uncle Tom, doesn't like it: URL URL",SAFE,davidson
Diabetes galore 😂😂😂😂😂 RT @USER: Colorado health officials recommend pot brownie ban URL,SAFE,davidson
This was my Chit shake that monkey beeotch URL,OFFENSIVE,davidson
Good Morning to you hoes and pimps.,OFFENSIVE,davidson
@USER @USER Historical point: cracker was a term for the Irish settling in the woods of the mid-Atlantic. Hardly offensive.,SAFE,davidson
@USER I'm trash,SAFE,davidson
@USER YOU ARE LITERALLY VERY SKINNY STOP PLAYIN WITH ME,SAFE,olid
@USER You are apiece of shit! WHY WOULD YOU KILL THAT ANIMAL? How is your mother?,OFFENSIVE,olid
Ms St aint no hoe. They fuckin Auburn up,OFFENSIVE,davidson
@USER @USER I’m sure the air that he is breathing is also bad.,OFFENSIVE,olid
@USER idk you into mouthy spics on welfare with 6 kids and 3 baby daddy's?,HATE,davidson
Too bad Brandon Lavergne isn't gonna have that vein spiked at Angola. #mickey,SAFE,davidson
@USER bitch u describe both of those terms,OFFENSIVE,davidson
My nigga so stiff but his bitch even stiffer 💯👫💏👊.... Me that is 💯,OFFENSIVE,davidson
"Sometimes, even I gotta tell these hoes to grow up smh",SAFE,davidson
@USER ABSOLUTELY FALSE. WE ALL KNOW CP24 IS WITH LIBERALS. REMEMBER DOUG FORD IS TRYING TO SAVE TAX PAYERS’MONEY,SAFE,olid
"Hey @USER you're a nigger #racismisaliveandwellbro , learn from other blacks in the league on how to conduct yourself",HATE,davidson
"America is like a drunken redneck flailing his fists around, raving incoherently. He's kind of funny, but also you'r ...",OFFENSIVE,davidson
@USER I feel you dude it Fucking sucks,OFFENSIVE,olid
@USER ew queer white thirsty bitch,HATE,davidson
Tia chepa... Uhh Noo bitch she is your Tia Irma 😒 aghh he's so annoying,OFFENSIVE,davidson
“@USER: i only rted alex ramos aka trash to gain followers” #vote5sos,SAFE,davidson
@USER @USER W had empathy and regrets. He may have been a bad/ineffective president but he is way more presidential than trump could ever hope to be,OFFENSIVE,olid
My hair is trash. I need to put a masque on it.. But that takes so much energy that I don't have.,SAFE,davidson
& when a nigga don't care if you leave it's cause he gotta another bitch he was tired of creeping w/ anyway !,OFFENSIVE,davidson
@USER @USER Bc @USER is trash why would he lie about that? I told you he's real,SAFE,davidson
I beg to differ on that lip bittin shit. Dis bitch bit my lip nd tried to suck my blood. Aint shit sexy about that,OFFENSIVE,davidson
Fuck your bitch make her call me Papi 🙊😏,OFFENSIVE,davidson
"@USER You bitch. Come on you bitch. You scared coward, you not man enough to fuck with me. You can't last two minutes in my world bitch.",OFFENSIVE,davidson
Reading the ut sexual assault case takes me back 2 college.I'll never forget D Walk would say dont run trains on them hoes.Straight Trouble,OFFENSIVE,davidson
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ‘😂.... it’s ALL about MAGA for me....as a very dear friend says •1Million followers and $1.95 will buy you ☕️😂 #FACT,SAFE,olid
"Tell them hoes ""I'm all friended out""",OFFENSIVE,davidson
"the sassy clerk at the post office was curious why I was getting packages from Japan, bitch I'm just buyin toys",OFFENSIVE,davidson
"""@USER: shut yo bitch ass up! URL 😭😂",OFFENSIVE,davidson
@USER #doggpound never left hip hop fans just turned into hoes. Literally ratchet broads that pretend to like baske…,OFFENSIVE,davidson
@USER @USER @USER Or maybe they want to appear unbias so they can continue to give cover to their antifa buddies when they cover them.,SAFE,olid
As soon as we left Iraq all these towel heads think they can fucking barge in and take over what we worked so hard to set up. Pisses me off.,HATE,davidson
@USER so your a dumb bitch?,OFFENSIVE,davidson
What these bitches want from a nicca .. 😩😩,OFFENSIVE,davidson
Remember. Just like we tried to tell you. You don't hear from Roy Moore's accusers anymore. They're running the same play. #ConfirmKavanaugh #MAGA #ChristineBlaseyFord,SAFE,olid
You losing 0-3 @USER and that's what u trying to do? Stupid yardie,SAFE,davidson
“@USER: URL ooooo give this one to the hot pocket hoe #AAMU,OFFENSIVE,davidson
"Watch ima hit that hoe later on this summer, finna be the best/most livestock party of 2014!!!",OFFENSIVE,davidson
""" these hoes like niggas that spend money not talk bout it """,OFFENSIVE,davidson
aint nuthin retarded bout Gucci but this gold rolex,OFFENSIVE,davidson
"""Walked in that bitch like, NIGGA WE MADE IT!""",OFFENSIVE,davidson
It's official. I leave America January 3rd. See ya bitches in February. Have fun with winter for me.,OFFENSIVE,davidson
Why you fuckin wit a niggah if you aint fuckin wit a real niggah,OFFENSIVE,davidson
@USER Beto I would love it if you could become a Texas senator. You need to support the 2nd amendment to get elected. Once you’re in you effect change. You have my vote but I am not worried at all about losing my gun ownership. The gun control argument is Teds best fight,SAFE,olid
This pussy dryer than yours... RT @USER: Drier vs. Dryer :(,OFFENSIVE,davidson
"Man, that is a serious shiner Chara's sporting. Yowza.",SAFE,davidson
@USER @USER Give me the pounds wanka,SAFE,olid
@USER @USER achichincle lamebotas!,OFFENSIVE,olid
Will be interesting to watch how Interlagos grips in this weekend. F1 cars basically the guinea pigs for WEC later this month.,SAFE,davidson
"Oomf got the ""hoes""",OFFENSIVE,davidson
@USER @USER No conflict here—don’t look at this. #Soros involved in violent left agenda of Antifa also.,SAFE,olid
trash af,SAFE,davidson
This explains a lot: URL #MAGA,SAFE,olid
#Nikes attempt to alienate more than half the country grabbed so much attention nobody noticed Levi’s going full gun control and partnering with the clowns from Everytown. If a leftist company goes Woke and nobody notices does it make a sound?,SAFE,olid
"If her pussy got over 10 body counts, It's dead💀. Pussies🐱 only have 9 lives 😂",OFFENSIVE,davidson
future bae best drink fiji water so her pussy taste like retweets & cinammon apples,OFFENSIVE,davidson
@USER thanks!!! Now go clean that trash can ya lil nasty! Lol,SAFE,davidson
Pop that pussy,OFFENSIVE,davidson
@USER im not a nigglet 😔,OFFENSIVE,davidson
my score on flappy bird is higher than the broncos score right now,SAFE,davidson
@USER hoes,OFFENSIVE,davidson
Break shit fuck the law....grrrr...fuck that shit...punch that bitch!,OFFENSIVE,davidson
You out there popping them pills fucking them stank hoes.. Keep it real you ain't really bout your bank roll.. You're satisfied.,OFFENSIVE,davidson
Gabby is such a hoe,OFFENSIVE,davidson
Latina bitches only,OFFENSIVE,davidson
Does anyone know of a good pet sitter in #CLE/Northeast Ohio? Specifically cats & birds. Thanks! #CLEpets #neo #clevelan…,SAFE,davidson
Stupid white people making my posts relevant to they own life #stupid #cousintoucher #honkie #whitetrash #blonde,HATE,davidson
Dino in rare form RT @USER: Mind your business hoe RT @USER: Annually RT @USER: Smh Webb hurt,OFFENSIVE,davidson
@USER Just finished saying to my wife that “Conservatives are not ready for the likes of Stormy thanks for everything Stormy,SAFE,olid
"@USER Just think. She is infinitely funnier than you. Obviously..D'uh huh."" 😮""",OFFENSIVE,olid
"As NFL reportedly asks bird-flipping M.I.A. for another $15M, let's revisit @USER's column on ridiculousness: URL",SAFE,davidson
@USER u a bitch in niggas clothing shut yo ass up 😂😂😂😂😂,OFFENSIVE,davidson
@USER You are so freaking valid,SAFE,olid
Let's Go LA #support my niccas no matter what,OFFENSIVE,davidson
I dont hide bitch im high when im in public,OFFENSIVE,davidson
@USER @USER @USER That bastard Obama is giving them to the f-ing wetbacks.,OFFENSIVE,davidson
Man that run game ain't no hoe. Fuck Alex. don't even need his bitch ass,OFFENSIVE,davidson
@USER Boy Hollywood sure does like to look like fools all the time. Wait until they find out it's a big hoax manufactured by liberals. Think they will apologize to Kavanaugh? No way.,OFFENSIVE,olid
Ion even wanna see this bitch . 😒 talking bout ill make you breakfast,OFFENSIVE,davidson
@USER So much respect for that man wherever he is.🔴⚪️,SAFE,olid
@USER Death to Jeremy Corbin by any means necessary !🤪👍,OFFENSIVE,olid
"@USER @USER @USER @USER @USER @USER @USER For example, I don't think that liberal imposition or inauthenticity"" is the issue here. The issue is that of borders and citizenship - liberals assume the same rights and equalities arguments apply across borders that apply within borders. But that is not a widely shared view.""",SAFE,olid
@USER no prob!!! She is really well made!,SAFE,olid
I can post a picture of chrus at like 5 in the morning and the little nigga will favorite and retweet that hoe,OFFENSIVE,davidson
and if that's yo bitch then you may have to fight holmezz,OFFENSIVE,davidson
"Ok, night night bitches",OFFENSIVE,davidson
“@USER: Oreos are basically dirt circles with cream.” True.,SAFE,davidson
@USER bitch I work 24 hours a day to protect your freedom fuck you #AlwaysOnWatch #GlobalForceForGood,OFFENSIVE,davidson
@USER naw fuck u bitch and go suck up cartier,OFFENSIVE,davidson
@USER @USER I wonder if the progs didn't relegate young black men to the ghettos to keep them away from harry reid's friends...,SAFE,davidson
@USER @USER I agree..but they are still conservatives at heart. May hate 45* but still have their conservative ideals.,SAFE,olid
@USER Yeah sucks honestly but I plan on coming back on variety rather than fortnite and if the opportunities are nice to start esport on another game but I can approve that fortnite esport is over for me.,OFFENSIVE,olid
What faggot complained about stretch marks?!? My nigga them shits taste like the swirls on cinnamon toast crunch URL,OFFENSIVE,davidson
"@USER @USER oh woulda coulda shoulda ass niggas bitch ass nigga, what u bout oh ban wagging ass nigga catch your phase",HATE,davidson
"@USER @USER @USER 1. AFTER she lost, she focused on her opponent. So you're when they lose..."" Serena wasn't losing. She is never losing until that last point. 2. You can say she screamed (it was loud there), I use the word DEFENDED her integrity.""",SAFE,olid
.@USER absolutely right to not propose another referendum. .@USER are not in power & we are not negotiating. It’s for @USER to make Brexit work; it belongs to them. If they can’t do that then @USER should call a General Election. Labour are ready. URL,SAFE,olid
#IJustDontSeeMyself ever supporting strict gun control. #2A #Liberals4Guns #guns #SecondAmendment,HATE,olid
1 good girl is worth 1000 hoes,OFFENSIVE,davidson
#wcw bitch 😘😂 @USER URL,OFFENSIVE,davidson
Okay! RT @USER: Right— bitch!!! RT @USER: you mad cause YOU opened your mouth? #GreysAnatomy,OFFENSIVE,davidson
"29. @USER Listened To The Liberals; Democrats And Their Bed-Buddies In the MSM DEMAND Transparency"" From the @USER Well, Your About To Get A YUGE Scoop Of ""Transparency"" From him. Like I Said In the Start of This Thread: Be Careful What You Wish For. ~End. URL",OFFENSIVE,olid
@USER @USER He is part of the problem in the Island...the incompetent on the governor and his work team on accepting and not having answers on every issued is our problem right know. Everything in this island right now is a political issued there are no priorities on human needs... 🙄,SAFE,olid
@USER @USER Bet Ford is a part of antifa and the Berkeley gang,HATE,olid
RT @USER: Most trash Halloween candy of all time. Don't debate me on this URL,SAFE,davidson
That hoe is live though,OFFENSIVE,davidson
"Ugly bitches listen, yall can not be havin a stank attitude. yall dont have nothing working for you but your personally so dont fuck it up.",OFFENSIVE,davidson
@USER bitch who is you?,OFFENSIVE,davidson
“@USER: when he makes u his WCW & his hoes favorite it URL 😈😈😈😂😂,OFFENSIVE,davidson
@USER @USER so y'all niggaz ain't never listen to no slow shit with a bitch,OFFENSIVE,davidson
Ima pull up eat on that pussy n dip,OFFENSIVE,davidson
@USER If it continues.. I turn pussy lol,OFFENSIVE,davidson
But she a hoe tho right? 😴 URL,OFFENSIVE,davidson
